Q	#up	#dn	#all
F_32	4	4	4
F_33	4	4	4
F_34	2	2	2
F_35	6	6	6
F_36	4	4	4
F_37	4	4	4
F_38	8	8	8
F_39	12	12	12
F_40	6	6	6
F_41	12	12	12
F_42	2	2	2
F_43	4	4	4
F_44	6	6	6
F_45	10	10	10
F_46	4	4	4
F_47	4	4	4
F_48	6	6	6
F_49	10	10	10
F_50	4	4	4
F_51	6	6	6
F_52	4	4	4
F_53	8	8	8
F_54	2	2	2
F_55	4	4	4
F_56	6	6	6
F_57	4	4	4
F_58	8	8	8
F_59	4	4	4
F_60	6	6	6
F_61	4	4	4
F_62	4	4	4
F_63	12	12	12
F_64	2	2	2
F_65	4	4	4
F_66	4	4	4
F_67	4	4	4
F_68	6	6	6
F_69	12	12	12
F_70	2	2	2
F_71	4	4	4
F_72	6	6	6
F_73	4	4	4
F_74	4	4	4
F_75	12	12	12
F_76	2	2	2
F_77	4	4	4
F_78	6	6	6
F_79	4	4	4
F_80	4	4	4
F_81	12	12	12
F_82	2	2	2
F_83	4	4	4
F_84	6	6	6
F_85	4	4	4
F_86	8	8	8
F_87	2	2	2
F_88	4	4	4
F_89	6	6	6
F_90	4	4	4
F_91	8	8	8
F_92	2	2	2
F_93	4	4	4
F_94	6	6	6
F_95	4	4	4
F_96	8	8	8
F_97	12	12	12
F_98	10	10	10
F_99	2	2	2
F_100	4	4	4
F_101	6	6	6
F_102	4	4	4
F_103	8	8	8
F_104	12	12	12
F_105	10	10	10
F_106	4	4	4
F_107	4	4	4
F_108	4	4	4
F_109	4	4	4
F_110	4	4	4
F_111	4	4	4
F_112	8	8	8
F_113	8	8	8
F_114	4	4	4
F_115	4	4	4
F_116	4	4	4
F_117	8	8	8
F_118	8	8	8
F_119	4	4	4
F_120	8	8	8
F_121	8	8	8
F_122	4	4	4
F_123	4	4	4
F_124	4	4	4
F_125	6	6	6
F_126	4	4	4
F_127	8	8	8
F_128	8	8	8
F_129	4	4	4
F_130	2	2	2
F_131	6	6	6
F_132	4	4	4
F_133	4	4	4
F_134	8	8	8
F_135	8	8	8
F_136	8	8	8
F_137	8	8	8
F_138	4	4	4
F_139	4	4	4
F_140	8	8	8
F_141	8	8	8
F_142	4	4	4
F_143	8	8	8
F_144	8	8	8
F_145	4	4	4
F_146	4	4	4
F_147	8	8	8
F_148	8	8	8
F_149	4	4	4
F_150	4	4	4
F_151	4	4	4
F_152	4	4	4
F_153	8	8	8
F_154	4	4	4
F_155	8	8	8
F_156	4	4	4
F_157	4	4	4
F_158	4	4	4
F_159	4	4	4
F_160	4	4	4
F_161	4	4	4
F_162	4	4	4
F_163	4	4	4
F_164	4	4	4
F_165	8	8	8
F_166	8	8	8
F_167	4	4	4
F_168	4	4	4
F_169	8	8	8
F_170	8	8	8
F_171	4	4	4
F_172	8	8	8
F_173	8	8	8
